City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,93,100,13.8,light rain
165,Peniche,PT,39.3558,-9.3811,66.11,90,0,11.16,clear sky
166,Velizh,RU,55.6056,31.1967,63.0,94,81,4.63,light rain
167,Ancud,CL,-41.8697,-73.8203,46.22,91,100,1.32,overcast clouds
168,Musoma,TZ,-1.5,33.8,69.42,67,46,3.04,scattered clouds
169,Vao,NC,-22.6667,167.4833,73.65,87,85,17.72,overcast clouds
170,Mehamn,NO,71.0357,27.8492,50.23,93,100,20.65,overcast clouds
171,Cap Malheureux,MU,-19.9842,57.6142,70.81,75,26,21.07,scattered clouds
172,Svetlogorsk,BY,52.6333,29.7333,65.3,66,69,7.07,broken clouds
173,Upata,VE,8.0086,-62.3989,75.99,81,80,1.28,broken clouds
174,Shenkursk,RU,62.1091,42.896,64.13,80,21,6.06,few clouds
175,Arlit,NE,18.7369,7.3853,94.14,26,92,9.98,overcast clouds
176,Zambezi,ZM,-13.5432,23.1047,64.67,36,84,2.73,broken clouds
177,Ulladulla,AU,-35.35,150.4667,50.85,87,26,3.33,scattered clouds
178,Tiksi,RU,71.6872,128.8694,48.74,80,29,5.7,scattered clouds
179,Manavalakurichi,IN,8.1333,77.3,76.89,86,81,16.04,broken clouds
180,Bosaso,SO,11.2842,49.1816,92.52,38,94,23.55,overcast clouds
181,Lompoc,US,34.6391,-120.4579,74.84,72,0,18.01,clear sky
182,Sao Felix Do Xingu,BR,-6.6447,-51.995,79.65,42,98,1.63,overcast clouds
183,Winslow,US,35.0242,-110.6974,98.78,18,0,9.22,clear sky
184,Alice Springs,AU,-23.7,133.8833,53.83,29,0,9.48,clear sky
185,Dingle,PH,10.9995,122.6711,77.07,91,82,1.57,broken clouds
186,Luanda,AO,-8.8368,13.2343,68.0,94,40,3.44,scattered clouds
187,Saint-Philippe,RE,-21.3585,55.7679,69.39,84,55,12.15,light rain
188,Kruisfontein,ZA,-34.0033,24.7314,50.88,81,42,18.23,light rain
189,Saskylakh,RU,71.9167,114.0833,53.94,80,56,3.51,broken clouds
190,Avera,US,33.194,-82.5271,92.71,42,51,1.83,broken clouds
191,Talnakh,RU,69.4865,88.3972,63.21,60,81,4.7,broken clouds
192,Lakes Entrance,AU,-37.8811,147.981,50.38,73,77,4.16,broken clouds
193,Nanortalik,GL,60.1432,-45.2371,43.54,92,95,10.74,overcast clouds
194,Hinatuan,PH,8.3722,126.3342,75.67,94,100,4.74,overcast clouds
195,Tamalin,MX,21.35,-97.8,90.18,51,53,16.24,broken clouds
