City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,Namatanai,PG,81.88,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
385,Escanaba,US,83.52,clear sky,45.7453,-87.0646,Sunset Lodge
391,Traverse City,US,83.98,broken clouds,44.7631,-85.6206,Bayshore Resort
393,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
401,Myingyan,MM,80.08,overcast clouds,21.4667,95.3833,Yamethin
404,Todos Santos,MX,80.44,broken clouds,23.45,-110.2167,Hotel California Todos Santos
405,Nepa Nagar,IN,75.09,overcast clouds,21.4667,76.4,Nemade Farm House Siwal
407,Faro,PT,83.17,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
408,Isangel,VU,78.91,few clouds,-19.55,169.2667,Tanna Lodge
409,Honiara,SB,82.36,scattered clouds,-9.4333,159.95,Heritage Park Hotel
415,Jardim,BR,78.35,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
416,Turan,VN,76.98,few clouds,16.0678,108.2208,Grand Mercure Danang
417,Tazmalt,DZ,81.39,clear sky,36.3868,4.3989,Hôtel Numédia
419,Cedar City,US,88.77,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
421,Black Forest,US,81.18,light rain,39.0131,-104.7008,Datt Properties
424,Cayenne,GF,84.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
425,Camocim,BR,80.46,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
428,Siniscola,IT,81.95,clear sky,40.5719,9.6922,Hotel Sa Tanca E Bore
433,Salina Cruz,MX,88.97,overcast clouds,16.1667,-95.2,Amerik HOTEL
435,Pisticci,IT,77.7,clear sky,40.3906,16.5568,Torre Fiore Hotel Masseria
439,Tiarei,PF,84.22,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
442,Mogadishu,SO,75.96,light rain,2.0371,45.3438,Hotel Juba
443,Tumpat,MY,75.76,broken clouds,6.1978,102.171,Baan Tanyong B&B
447,El Retorno,CO,76.19,light rain,2.3302,-72.6276,Hostal la posada de Rita
452,Lorengau,PG,82.85,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
454,Tonekabon,IR,76.95,clear sky,36.8163,50.8738,Hotel Sadra
456,Nago,JP,84.63,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
457,Cabo San Lucas,MX,82.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
458,Hazorasp,UZ,78.64,clear sky,41.3194,61.0742,Kemping wifi hotel
460,Muana,BR,81.28,overcast clouds,-1.5283,-49.2167,Pousada Bella do Marajó
461,Higueron,MX,85.37,broken clouds,18.5833,-99.1667,HOTEL IMPERIAL JOJUTLA
463,Grand-Lahou,CI,75.61,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
466,Maiduguri,NG,77.58,light rain,11.8464,13.1603,Kagel Mari Police Station
471,Nouadhibou,MR,75.18,thunderstorm,20.931,-17.0347,El Medina
473,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
474,Hirara,JP,84.56,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
475,Huangmei,CN,76.05,broken clouds,30.1924,116.025,Tianxiachan Hotel
476,Kavaratti,IN,80.98,broken clouds,10.5669,72.642,Green leaf
479,Kutum,SD,82.96,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
482,La Orilla,MX,86.0,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
485,Uruacu,BR,76.84,clear sky,-14.5247,-49.1408,Cassius Hotel
486,Balkanabat,TM,83.43,clear sky,39.5108,54.3671,Nebitchi Hotel
491,Chabahar,IR,83.44,broken clouds,25.2919,60.643,هتل گدروشیا
498,Itoman,JP,84.58,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
502,Det Udom,TH,78.62,overcast clouds,14.906,105.0784,Chatsuda Resort
503,Koumac,NC,75.0,overcast clouds,-20.5667,164.2833,Le Monitel
506,Cranbrook,CA,76.84,broken clouds,49.4999,-115.7688,Almo Court Motel
508,Sao Miguel Do Araguaia,BR,80.67,clear sky,-13.275,-50.1628,Hotel Executivo Palace
511,Tallahassee,US,86.81,overcast clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
512,Tuy Hoa,VN,75.31,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
